,Name,Data Smell,Cluster
0,Bruce Gibson,,0
2,Bruce gibson,SMELL_CASING,0
4,Brent Kelly,,1
6,bREnt KeLlY,SMELL_CASING,1
8,Sammy Cox,,2
10,Sammy cox,SMELL_CASING,2
12,Don Kelly,,3
14,don kelly,SMELL_CASING,3
16,Charles May,,4
18,charles may,SMELL_CASING,4
20,Diane Hicks,,5
22,diane hicks,SMELL_CASING,5
24,William Watts,,6
26,William watts,SMELL_CASING,6
28,Katherine Mitchell,,7
30,Katherine mitchell,SMELL_CASING,7
32,Amelia Gibson,,8
34,amelia Gibson,SMELL_CASING,8
36,Leo Garza,,9
38,leo garza,SMELL_CASING,9
40,Herbert Cole,,10
42,herbert cole,SMELL_CASING,10
44,Rose Hayes,,11
46,rose Hayes,SMELL_CASING,11
48,Ella Little,,12
50,eLLa LitTLE,SMELL_CASING,12
52,Angel Lawrence,,13
54,angel lawrence,SMELL_CASING,13
56,Craig Clark,,14
58,craig clark,SMELL_CASING,14
60,Rosie Little,,15
62,Rosie little,SMELL_CASING,15
64,Darrell Terry,,16
66,Darrell terry,SMELL_CASING,16
68,Ken Stewart,,17
70,KEn STewarT,SMELL_CASING,17
72,Rodney Flores,,18
74,rodney flores,SMELL_CASING,18
76,Sofia George,,19
78,SOFIA GeorgE,SMELL_CASING,19
80,Clarence Black,,20
82,clarence black,SMELL_CASING,20
84,Britney Howell,,21
86,brITney howelL,SMELL_CASING,21
88,Avery Wood,,22
90,Avery wood,SMELL_CASING,22
92,Roberto Lowe,,23
94,roBERTO lOwE,SMELL_CASING,23
96,Sergio Hernandez,,24
98,Sergio hernandez,SMELL_CASING,24
100,Marcus Bradley,,25
102,Marcus bradley,SMELL_CASING,25
104,Jessica Mckinney,,26
106,Jessica mckinney,SMELL_CASING,26
108,Amelia Carpenter,,27
110,Amelia carpenter,SMELL_CASING,27
112,Raymond Hudson,,28
114,raymond hudson,SMELL_CASING,28
116,Joe Harrison,,29
118,JOE HARRISON,SMELL_CASING,29
120,Jackson Murray,,30
