,Name,Data Smell,Cluster
0,Bruce Gibson,,0
3,  Bruce Gibson,SMELL_SPACING,0
4,Brent Kelly,,1
7, Brent Kelly,SMELL_SPACING,1
8,Sammy Cox,,2
11, Sammy Cox,SMELL_SPACING,2
12,Don Kelly,,3
15, Don Kelly,SMELL_SPACING,3
16,Charles May,,4
19,CharlesMay,SMELL_SPACING,4
20,Diane Hicks,,5
23,Diane Hicks  ,SMELL_SPACING,5
24,William Watts,,6
27,William  Watts,SMELL_SPACING,6
28,Katherine Mitchell,,7
31,Katherine Mitchell  ,SMELL_SPACING,7
32,Amelia Gibson,,8
35, Amelia Gibson,SMELL_SPACING,8
36,Leo Garza,,9
39, Leo Garza,SMELL_SPACING,9
40,Herbert Cole,,10
43,HerbertCole,SMELL_SPACING,10
44,Rose Hayes,,11
47,Rose Hayes  ,SMELL_SPACING,11
48,Ella Little,,12
51,Ella Little ,SMELL_SPACING,12
52,Angel Lawrence,,13
55,AngelLawrence,SMELL_SPACING,13
56,Craig Clark,,14
59,CraigClark,SMELL_SPACING,14
60,Rosie Little,,15
63, Rosie Little,SMELL_SPACING,15
64,Darrell Terry,,16
67,Darrell  Terry,SMELL_SPACING,16
68,Ken Stewart,,17
71,  Ken Stewart,SMELL_SPACING,17
72,Rodney Flores,,18
75,Rodney  Flores,SMELL_SPACING,18
76,Sofia George,,19
79,  Sofia George,SMELL_SPACING,19
80,Clarence Black,,20
83,Clarence Black  ,SMELL_SPACING,20
84,Britney Howell,,21
87,Britney Howell ,SMELL_SPACING,21
88,Avery Wood,,22
91,Avery Wood  ,SMELL_SPACING,22
92,Roberto Lowe,,23
95,Roberto Lowe ,SMELL_SPACING,23
96,Sergio Hernandez,,24
99, Sergio Hernandez,SMELL_SPACING,24
100,Marcus Bradley,,25
103,Marcus Bradley  ,SMELL_SPACING,25
104,Jessica Mckinney,,26
107,Jessica Mckinney  ,SMELL_SPACING,26
108,Amelia Carpenter,,27
111, Amelia Carpenter,SMELL_SPACING,27
112,Raymond Hudson,,28
115,Raymond Hudson  ,SMELL_SPACING,28
116,Joe Harrison,,29
119,Joe Harrison ,SMELL_SPACING,29
120,Jackson Murray,,30
123,Jackson Murray ,SMELL_SPACING,30
124,Deborah Baker,,31
127,Deborah  Baker,SMELL_SPACING,31
128,Kayla Wheeler,,32
131, Kayla Wheeler,SMELL_SPACING,32
132,Becky Gilbert,,33
135,BeckyGilbert,SMELL_SPACING,33
136,Jake Elliott,,34
139,  Jake Elliott,SMELL_SPACING,34
140,Laura Brooks,,35
143,  Laura Brooks,SMELL_SPACING,35
144,Julie Welch,,36
147,Julie Welch ,SMELL_SPACING,36
148,Roland Burton,,37
151,Roland Burton  ,SMELL_SPACING,37
152,Abbie Gregory,,38
155,Abbie  Gregory,SMELL_SPACING,38
156,Maria Beck,,39
159,Maria Beck  ,SMELL_SPACING,39
160,Lucy Fowler,,40
163, Lucy Fowler,SMELL_SPACING,40
164,Dick Hamilton,,41
167,Dick Hamilton  ,SMELL_SPACING,41
168,Theo Brewer,,42
171,Theo Brewer ,SMELL_SPACING,42
172,Clayton Simmons,,43
175,ClaytonSimmons,SMELL_SPACING,43
176,Armando Hoffman,,44
179,  Armando Hoffman,SMELL_SPACING,44
180,Marvin James,,45
183,Marvin James ,SMELL_SPACING,45
184,Stephanie Ramirez,,46
187, Stephanie Ramirez,SMELL_SPACING,46
188,Elizabeth Kim,,47
191, Elizabeth Kim,SMELL_SPACING,47
192,Amelia Rose,,48
195, Amelia Rose,SMELL_SPACING,48
196,Kathy Vasquez,,49
199, Kathy Vasquez,SMELL_SPACING,49
200,Floyd Howard,,50
203,Floyd Howard ,SMELL_SPACING,50
204,Suzy Hansen,,51
207,Suzy  Hansen,SMELL_SPACING,51
208,Sophie Reed,,52
211, Sophie Reed,SMELL_SPACING,52
212,George Morales,,53
215,GeorgeMorales,SMELL_SPACING,53
216,Jim Sims,,54
219, Jim Sims,SMELL_SPACING,54
220,Brooke Gardner,,55
223,Brooke Gardner  ,SMELL_SPACING,55
224,Bryan Olson,,56
227,BryanOlson,SMELL_SPACING,56
228,Brittany Hicks,,57
231, Brittany Hicks,SMELL_SPACING,57
232,Tammy Russell,,58
235,  Tammy Russell,SMELL_SPACING,58
236,Wesley Byrd,,59
239,  Wesley Byrd,SMELL_SPACING,59
240,Darryl Perez,,60
243,  Darryl Perez,SMELL_SPACING,60
244,Travis Reid,,61
247,TravisReid,SMELL_SPACING,61
248,Avery Payne,,62
251,Avery  Payne,SMELL_SPACING,62
252,Nicky Barnes,,63
255,Nicky  Barnes,SMELL_SPACING,63
256,Ed Richards,,64
259,  Ed Richards,SMELL_SPACING,64
260,Tracy Reid,,65
263,Tracy  Reid,SMELL_SPACING,65
264,Sarah Jones,,66
267,Sarah Jones ,SMELL_SPACING,66
268,Owen Long,,67
271, Owen Long,SMELL_SPACING,67
272,Carolyn Fields,,68
275,CarolynFields,SMELL_SPACING,68
276,Nathaniel Fox,,69
279,Nathaniel Fox  ,SMELL_SPACING,69
280,Ross Owens,,70
283,Ross  Owens,SMELL_SPACING,70
284,Phoebe Wagner,,71
287,Phoebe Wagner  ,SMELL_SPACING,71
288,Alison Harper,,72
291,AlisonHarper,SMELL_SPACING,72
292,Anthony Oliver,,73
295,  Anthony Oliver,SMELL_SPACING,73
296,Caitlin Reid,,74
299,  Caitlin Reid,SMELL_SPACING,74
300,Anna Clark,,75
303,  Anna Clark,SMELL_SPACING,75
304,Ruben Hart,,76
307,Ruben  Hart,SMELL_SPACING,76
308,Darryl Johnston,,77
311,DarrylJohnston,SMELL_SPACING,77
312,Dan Price,,78
315,Dan  Price,SMELL_SPACING,78
316,Diane Sims,,79
319,  Diane Sims,SMELL_SPACING,79
320,Diane Woods,,80
323,DianeWoods,SMELL_SPACING,80
324,Julie Rogers,,81
327,Julie  Rogers,SMELL_SPACING,81
328,Eleanor Henderson,,82
331,Eleanor Henderson ,SMELL_SPACING,82
332,Jeremiah Robinson,,83
335, Jeremiah Robinson,SMELL_SPACING,83
336,Owen Bell,,84
339,Owen Bell ,SMELL_SPACING,84
340,Olivia Henry,,85
343, Olivia Henry,SMELL_SPACING,85
344,Ruben Neal,,86
347, Ruben Neal,SMELL_SPACING,86
348,Anna Fuller,,87
351,  Anna Fuller,SMELL_SPACING,87
352,Judy Grant,,88
355,Judy  Grant,SMELL_SPACING,88
356,Emma Clarke,,89
359,EmmaClarke,SMELL_SPACING,89
360,Theo Vargas,,90
363,Theo  Vargas,SMELL_SPACING,90
364,Anna Lawrence,,91
367, Anna Lawrence,SMELL_SPACING,91
368,Earl Fleming,,92
371,Earl Fleming  ,SMELL_SPACING,92
372,Allan Davidson,,93
375,Allan Davidson ,SMELL_SPACING,93
376,Jeff Marshall,,94
379, Jeff Marshall,SMELL_SPACING,94
380,Paige Taylor,,95
383,Paige  Taylor,SMELL_SPACING,95
384,Lisa Gomez,,96
387,Lisa Gomez  ,SMELL_SPACING,96
388,Alison Sutton,,97
391,Alison  Sutton,SMELL_SPACING,97
392,Cathy Baker,,98
395,Cathy Baker ,SMELL_SPACING,98
396,Kate Fox,,99
399,Kate Fox  ,SMELL_SPACING,99
400,Alberto Russell,,100
403, Alberto Russell,SMELL_SPACING,100
404,Alexandra Perry,,101
407,Alexandra Perry  ,SMELL_SPACING,101
408,Aiden Bailey,,102
411,  Aiden Bailey,SMELL_SPACING,102
412,Lauren Banks,,103
415,  Lauren Banks,SMELL_SPACING,103
416,Jackson May,,104
419,JacksonMay,SMELL_SPACING,104
420,Donald Jordan,,105
423,DonaldJordan,SMELL_SPACING,105
424,Lillian Rodriguez,,106
427,Lillian  Rodriguez,SMELL_SPACING,106
428,Steven Hughes,,107
431,  Steven Hughes,SMELL_SPACING,107
432,Lillian Morgan,,108
435,  Lillian Morgan,SMELL_SPACING,108
436,Ross Clarke,,109
439,Ross Clarke ,SMELL_SPACING,109
440,Rachel Griffin,,110
443,RachelGriffin,SMELL_SPACING,110
444,Alex Morales,,111
447,AlexMorales,SMELL_SPACING,111
448,Elmer Crawford,,112
451,Elmer  Crawford,SMELL_SPACING,112
452,Sara Fleming,,113
455,Sara Fleming ,SMELL_SPACING,113
456,Bruce Carpenter,,114
459,Bruce  Carpenter,SMELL_SPACING,114
460,Ray Evans,,115
