,Name,Data Smell,Cluster
0,Bruce Gibson,,0
1,"Bruce Gibson, Dr.",SMELL_TRUNCATING,0
4,Brent Kelly,,1
5,"Brent Kelly, Dr.",SMELL_TRUNCATING,1
8,Sammy Cox,,2
9,"Sammy Cox, BSc.",SMELL_TRUNCATING,2
12,Don Kelly,,3
13,"Don Kelly, MSc.",SMELL_TRUNCATING,3
16,Charles May,,4
17,"Charles May, MSc.",SMELL_TRUNCATING,4
20,Diane Hicks,,5
21,"Diane Hicks, MSc.",SMELL_TRUNCATING,5
24,William Watts,,6
25,Doctor William Watts,SMELL_TRUNCATING,6
28,Katherine Mitchell,,7
29,Doctor Katherine Mitchell,SMELL_TRUNCATING,7
32,Amelia Gibson,,8
33,MSc. Amelia Gibson,SMELL_TRUNCATING,8
36,Leo Garza,,9
37,"Leo Garza, Dr.",SMELL_TRUNCATING,9
40,Herbert Cole,,10
41,Doctor Herbert Cole,SMELL_TRUNCATING,10
44,Rose Hayes,,11
45,"Rose Hayes, MSc.",SMELL_TRUNCATING,11
48,Ella Little,,12
49,"Ella Little, Dr.",SMELL_TRUNCATING,12
52,Angel Lawrence,,13
53,Doctor Angel Lawrence,SMELL_TRUNCATING,13
56,Craig Clark,,14
57,Dr. Craig Clark,SMELL_TRUNCATING,14
60,Rosie Little,,15
61,"Rosie Little, MSc.",SMELL_TRUNCATING,15
64,Darrell Terry,,16
65,"Darrell Terry, BSc.",SMELL_TRUNCATING,16
68,Ken Stewart,,17
69,"Ken Stewart, MSc.",SMELL_TRUNCATING,17
72,Rodney Flores,,18
73,BSc. Rodney Flores,SMELL_TRUNCATING,18
76,Sofia George,,19
77,MSc. Sofia George,SMELL_TRUNCATING,19
80,Clarence Black,,20
81,"Clarence Black, Dr.",SMELL_TRUNCATING,20
84,Britney Howell,,21
85,Doctor Britney Howell,SMELL_TRUNCATING,21
88,Avery Wood,,22
89,BSc. Avery Wood,SMELL_TRUNCATING,22
92,Roberto Lowe,,23
93,"Roberto Lowe, BSc.",SMELL_TRUNCATING,23
96,Sergio Hernandez,,24
97,"Sergio Hernandez, BSc.",SMELL_TRUNCATING,24
100,Marcus Bradley,,25
101,Doctor Marcus Bradley,SMELL_TRUNCATING,25
104,Jessica Mckinney,,26
105,"Jessica Mckinney, BSc.",SMELL_TRUNCATING,26
